freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,LDC,MIO_EUR,SE	164 	167 	153 	163 	188 	182 	202 	208 	323 	570 	257 	381 	452 	396 	469 	563 	604 	651 	661 	872 	675 	749 	1107 	995 
A,TOTAL,LDC,MIO_EUR,SI	12 	18 	15 	17 	19 	17 	15 	15 	13 	25 	60 	71 	65 	69 	87 	110 	94 	107 	126 	122 	169 	273 	426 	300 
A,TOTAL,LDC,MIO_EUR,SK	5 	4 	6 	7 	4 	5 	22 	29 	25 	40 	40 	50 	55 	63 	83 	87 	105 	143 	161 	168 	127 	127 	238 	131 
A,TOTAL,LMIC,MIO_EUR,AT	1514 	1419 	1493 	1989 	2506 	2849 	2745 	3643 	3592 	2332 	2855 	3136 	3413 	4451 	3648 	3595 	4018 	5417 	5809 	5453 	4568 	4857 	6056 	5637 
A,TOTAL,LMIC,MIO_EUR,BE	5776 	5633 	5992 	6976 	8396 	9252 	10570 	11123 	12373 	9453 	11997 	10372 	9491 	9469 	9720 	10190 	10530 	11737 	12170 	12379 	11778 	15495 	22825 	18655 
A,TOTAL,LMIC,MIO_EUR,BG	159 	160 	217 	864 	1065 	1222 	1654 	2632 	3011 	1540 	1761 	1463 	1174 	1213 	1293 	1246 	1384 	1849 	2076 	2310 	2089 	2231 	3195 	2632 
A,TOTAL,LMIC,MIO_EUR,CY	234 	260 	237 	312 	168 	137 	430 	416 	380 	217 	269 	253 	170 	145 	184 	229 	193 	324 	241 	241 	212 	268 	377 	572 
A,TOTAL,LMIC,MIO_EUR,CZ	608 	664 	1013 	1188 	1055 	884 	2155 	2290 	2676 	1745 	3127 	1663 	1556 	1574 	1586 	1587 	1656 	1920 	2098 	2389 	2210 	3250 	5152 	5379 
A,TOTAL,LMIC,MIO_EUR,DE	16202 	15294 	14557 	20597 	22041 	23873 	25171 	28516 	24956 	19853 	25437 	26992 	27031 	26394 	26369 	27597 	26369 	28722 	31345 	31773 	29448 	32924 	45154 	40792 
A,TOTAL,LMIC,MIO_EUR,DK	510 	472 	457 	1020 	1126 	1346 	1185 	1391 	2024 	1447 	1736 	1343 	1403 	1947 	1758 	1715 	1542 	1676 	1825 	1943 	1847 	2264 	3670 	2397 
A,TOTAL,LMIC,MIO_EUR,EE	59 	55 	78 	104 	87 	70 	322 	368 	175 	82 	125 	179 	278 	165 	123 	123 	157 	179 	236 	226 	197 	268 	382 	289 
A,TOTAL,LMIC,MIO_EUR,EL	2654 	2486 	1844 	2554 	3256 	3851 	4181 	5417 	5464 	3800 	3922 	2764 	3150 	5128 	1837 	1678 	1671 	1857 	1936 	2366 	2054 	3315 	5627 	4915 
A,TOTAL,LMIC,MIO_EUR,ES	10148 	10012 	9527 	11286 	14103 	17733 	21251 	22694 	25860 	18127 	23118 	21966 	24215 	19933 	20480 	19747 	19741 	23755 	26170 	26283 	22147 	27820 	46363 	40387 
A,TOTAL,LMIC,MIO_EUR,EU27_2020	: 	: 	86603 	104316 	121855 	145062 	172376 	187557 	188179 	136486 	176112 	150721 	157109 	150368 	142427 	142818 	138091 	161224 	184807 	193476 	172481 	216869 	335740 	298874 
A,TOTAL,LMIC,MIO_EUR,FI	448 	513 	493 	692 	826 	905 	1560 	1584 	922 	653 	979 	933 	609 	704 	608 	494 	507 	574 	642 	629 	615 	903 	1275 	1132 
A,TOTAL,LMIC,MIO_EUR,FR	15128 	15018 	14110 	16410 	18761 	23976 	23699 	25279 	26103 	19020 	21681 	19913 	19705 	18824 	18810 	18288 	16720 	19377 	26549 	27313 	22381 	27601 	43721 	41424 
A,TOTAL,LMIC,MIO_EUR,HR	477 	651 	735 	806 	868 	978 	1035 	1436 	1276 	1036 	1297 	347 	414 	374 	283 	267 	263 	253 	265 	296 	317 	534 	907 	771 
A,TOTAL,LMIC,MIO_EUR,HU	699 	793 	1034 	954 	1063 	1271 	2081 	2518 	2717 	1615 	1706 	1675 	1868 	2013 	1956 	1870 	2003 	2865 	3002 	3211 	3270 	4046 	5396 	3494 
A,TOTAL,LMIC,MIO_EUR,IE	605 	558 	659 	800 	808 	885 	793 	716 	670 	646 	668 	848 	1319 	830 	883 	870 	939 	1174 	1056 	1138 	1127 	1993 	2648 	2483 
A,TOTAL,LMIC,MIO_EUR,IT	20435 	18961 	17435 	19638 	23303 	28222 	37583 	38100 	40545 	28532 	41704 	23939 	21775 	21048 	18584 	18247 	17380 	19077 	22666 	23448 	19600 	27460 	53621 	46329 
A,TOTAL,LMIC,MIO_EUR,LT	86 	83 	83 	155 	132 	176 	662 	837 	511 	275 	407 	533 	379 	437 	461 	479 	381 	443 	490 	623 	576 	911 	1398 	1280 
A,TOTAL,LMIC,MIO_EUR,LU	45 	36 	30 	64 	161 	71 	154 	76 	42 	40 	46 	36 	25 	34 	56 	68 	65 	78 	76 	101 	121 	162 	202 	181 
A,TOTAL,LMIC,MIO_EUR,LV	16 	15 	16 	45 	50 	77 	617 	591 	210 	142 	174 	220 	304 	306 	281 	287 	316 	414 	441 	479 	482 	577 	768 	807 
A,TOTAL,LMIC,MIO_EUR,MT	34 	31 	40 	87 	93 	89 	65 	78 	92 	79 	124 	116 	141 	158 	164 	181 	207 	225 	295 	260 	281 	307 	342 	454 
A,TOTAL,LMIC,MIO_EUR,NL	13455 	12265 	12079 	11178 	13504 	16324 	20359 	23050 	21755 	17507 	21852 	20010 	26085 	21852 	20527 	21050 	18749 	23145 	26141 	29982 	27952 	33055 	48875 	45490 
A,TOTAL,LMIC,MIO_EUR,PL	842 	972 	949 	1720 	1705 	1801 	3203 	3544 	4232 	2442 	3102 	3800 	3835 	3500 	3916 	4230 	4686 	5617 	6536 	7585 	7438 	10836 	14937 	12094 
A,TOTAL,LMIC,MIO_EUR,PT	1595 	1162 	1170 	1217 	2101 	2879 	3987 	3734 	2828 	1654 	2055 	2953 	2842 	3530 	2588 	2357 	1857 	2178 	2536 	3346 	2951 	4054 	6319 	5999 
A,TOTAL,LMIC,MIO_EUR,RO	604 	588 	751 	1342 	2037 	3233 	3283 	3348 	2011 	1252 	1785 	1853 	1658 	1496 	1511 	1797 	1962 	2360 	2740 	2884 	2724 	3813 	5011 	4687 
A,TOTAL,LMIC,MIO_EUR,SE	1452 	1433 	1126 	1692 	1688 	1714 	1718 	1983 	1778 	1453 	1980 	1777 	2685 	3120 	3086 	2819 	2828 	3500 	4271 	3451 	3010 	3475 	5379 	4164 
A,TOTAL,LMIC,MIO_EUR,SI	309 	317 	325 	379 	616 	909 	1107 	1287 	1043 	907 	1243 	558 	539 	591 	597 	740 	752 	847 	1165 	1195 	1048 	1325 	2064 	3118 
A,TOTAL,LMIC,MIO_EUR,SK	128 	142 	155 	248 	335 	333 	806 	906 	932 	636 	963 	1080 	1045 	1133 	1120 	1068 	1215 	1662 	2029 	2172 	2038 	3123 	4074 	3312 
A,TOTAL,OLIC,MIO_EUR,AT	556 	697 	649 	597 	572 	1000 	845 	489 	319 	281 	510 	2 	1 	2 	1 	1 	2 	2 	2 	2 	1 	1 	1 	1 
A,TOTAL,OLIC,MIO_EUR,BE	3930 	3697 	3963 	3874 	4343 	4731 	4541 	4863 	1499 	1229 	1511 	54 	80 	105 	144 	103 	108 	110 	38 	36 	131 	97 	6 	4 
A,TOTAL,OLIC,MIO_EUR,BG	95 	190 	153 	201 	159 	156 	119 	151 	82 	60 	52 	17 	9 	20 	9 	3 	1 	1 	1 	1 	2 	1 	5 	1 
A,TOTAL,OLIC,MIO_EUR,CY	55 	62 	59 	58 	66 	82 	49 	60 	15 	14 	20 	3 	2 	2 	2 	2 	2 	3 	0 	0 	0 	0 	1 	1 
A,TOTAL,OLIC,MIO_EUR,CZ	269 	437 	551 	569 	513 	727 	230 	299 	143 	122 	148 	5 	4 	1 	1 	2 	2 	1 	0 	0 	0 	0 	0 	0 
A,TOTAL,OLIC,MIO_EUR,DE	7898 	8122 	7572 	7462 	7866 	8964 	8021 	8610 	4991 	4049 	5566 	190 	172 	172 	168 	158 	168 	153 	19 	20 	16 	16 	8 	12 
